name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
Я не могу иначе,0.437,0.457,-7.433,0.027,0.474,0.0,0.132,0.454,85.479,classic russian pop
Зимняя Москва,0.402,0.262,-15.213,0.0453,0.873,2.5e-06,0.386,0.532,102.347,classic russian pop
Ja ne mogu inache,0.453,0.458,-7.43,0.0269,0.454,0.0,0.132,0.446,85.522,classic russian pop
Alabina - Original Version,0.69,0.866,-8.474,0.0655,0.308,1.16e-05,0.292,0.863,101.163,arab pop
Alabina - La vérité si je mens,0.634,0.956,-3.594,0.0747,0.188,0.0,0.288,0.89,101.865,arab pop
Sto Perigiali To Kryfo,0.401,0.323,-12.448,0.0354,0.904,0.000408,0.102,0.395,98.806,entehno
Tou Mikrou Voria,0.737,0.433,-9.456,0.0311,0.705,0.000753,0.109,0.962,118.63,entehno
יש לך מקום,0.636,0.254,-13.669,0.0311,0.635,0.00365,0.129,0.392,80.487,israeli singer-songwriter
סוויטת יום העצמאות,0.473,0.436,-11.098,0.025,0.574,0.00886,0.0828,0.536,92.955,israeli singer-songwriter
When the Hurt Is Over,0.505,0.129,-18.277,0.0401,0.629,0.000508,0.0868,0.252,142.892,soul blues
I'm Tired of These Blues,0.473,0.183,-16.006,0.0394,0.11,0.00299,0.0973,0.248,123.346,soul blues
Don't Worry About Me,0.504,0.24,-17.327,0.0443,0.622,0.00863,0.449,0.275,147.668,soul blues
Узелки,0.849,0.588,-10.775,0.0754,0.565,1.45e-05,0.0362,0.85,101.72,classic russian pop
Электричка,0.836,0.925,-6.856,0.0424,0.0339,1.45e-06,0.04,0.971,130.016,classic russian pop
Лёха,0.678,0.93,-9.749,0.0361,0.151,8.34e-06,0.333,0.804,141.893,classic russian pop
На теплоходе музыка играет,0.712,0.931,-5.682,0.0713,0.17,0.0,0.176,0.724,126.009,classic russian pop
יום מעונן,0.582,0.964,-5.024,0.0384,0.129,0.0,0.313,0.778,130.019,festigal
אני,0.694,0.769,-9.778,0.0397,0.185,5.08e-05,0.288,0.745,120.049,festigal
כולם רוקדים עכשיו,0.791,0.875,-5.274,0.0319,0.00722,9.77e-05,0.158,0.947,119.986,festigal
קטן זה הכי כיף בעולם,0.615,0.874,-10.91,0.0534,0.366,0.0,0.542,0.871,135.56,festigal
עומד על צוק,0.616,0.819,-7.745,0.0341,0.0349,5.34e-05,0.0933,0.842,136.0,festigal
מיטשל,0.585,0.379,-10.958,0.0368,0.816,0.00109,0.103,0.397,89.08,classic israeli pop
כל קיץ,0.312,0.437,-9.315,0.0281,0.252,0.000329,0.113,0.226,171.349,classic israeli pop
מגדלור,0.72,0.818,-8.472,0.0389,0.043,7.98e-06,0.592,0.829,121.968,classic israeli pop
סאלאם,0.375,0.562,-10.406,0.0431,0.755,1.51e-06,0.191,0.508,113.166,israeli pop
שיר מספר שמונה,0.58,0.771,-7.776,0.0738,0.413,0.0,0.196,0.29,102.847,israeli pop
שיר למעלות,0.265,0.369,-10.12,0.0315,0.283,0.0,0.102,0.519,134.588,israeli pop
Чашка кофию,0.865,0.66,-7.661,0.0392,0.19,4.64e-05,0.0304,0.97,126.024,classic russian pop
Дожди,0.756,0.422,-11.743,0.0307,0.329,0.000597,0.1,0.45,126.115,classic russian pop
Если - после,0.888,0.585,-8.648,0.0461,0.0233,6.23e-05,0.0277,0.962,124.094,classic russian pop
"Солнышко моё, вставай!",0.751,0.764,-8.997,0.0406,0.112,0.000313,0.0305,0.75,124.027,classic russian pop
C'est extra,0.382,0.425,-11.248,0.0298,0.192,0.00543,0.0803,0.185,95.454,chanson
Avec le temps,0.391,0.27,-13.05,0.0342,0.682,0.00183,0.108,0.15,118.11,chanson
Avec le temps,0.403,0.18,-14.629,0.0359,0.87,0.00866,0.116,0.153,116.178,chanson
